id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
1165,Ristorante Pizzeria Il Pellicano,Supermercato Coop San Giusto,,,,,,,,,,,1.28
1166,Ipercoop Pisa,Centro Commerciale Pisanova,Polo Fibonacci,3.07,MD Discount Riglione,5.42,Ristorante Il Mio Capriccio,3.82,,,,,0.99
1167,Parcheggio Migliarino,Universita di Pisa,Decathlon Pisa,16.21,Ristorante Galileo,1.11,Conad Metato,8.9,,,,,7.76
1168,MD Discount Riglione,Via del Borghetto 102,Via San Ranieri 9,4.57,Parcheggio San Giuliano Terme,8.5,Via Gabriele Vettori 18,8.34,Via Aretino Spinello 11,0.63,,,1.14
1169,MediaWorld Pisa,Ipercoop Pisa,Parco San Rossore,2.94,Universita di Pisa,2.82,Ristorante Il Lago (Nodica),5.93,Hotel San Ranieri,6.06,Ristorante La Greppia,3.33,2.2
1170,Ristorante Galileo,Via Angelo Battelli 5,Ristorante Da Stefano (Tirrenia),20.7,,,,,,,,,18.42
1171,Centro Commerciale Darsena (Tirrenia),Via Gabriele Vettori 18,Stazione San Rossore,18.85,Via Aretino Spinello 11,1.66,Hotel Galilei Pisa,4.59,,,,,5.16
1172,Ristorante Tuscany 2,Farmacia Cisanello,McDonald's Barbaricina,8.73,Supermercato Coop San Giusto,5.29,Supermercato Coop Ghezzano,7.84,Lidl Pisa,6.88,,,3.62
1173,Ristorante Da Stefano (Tirrenia),Via Angelo Battelli 5,Stazione Pisa Centrale,17.38,Farmacia Cisanello,3.57,Conad Pian di Marco,5.29,,,,,3.24
1174,Conad Metato,MediaWorld Pisa,,,,,,,,,,,10.81
1175,McDonald's Pisa Aurelia,Parcheggio Porto di Marina,Esselunga Cisanello,3.95,Ristorante La Greppia,3.27,Parcheggio San Giuliano Terme,11.37,Ipercoop Pisa,10.77,Ristorante Il Lago (Nodica),8.69,21.69
1176,Via Aretino Spinello 11,Via del Borghetto 102,,,,,,,,,,,1.11
1177,Pizzeria Colignola,Ristorante Pizzeria Il Pellicano,Stazione Leopolda,4.31,,,,,,,,,1.23
1178,Parco San Rossore,Pizzeria Pisanova,Centro Commerciale Pisanova,3.06,Stazione San Rossore,3.13,Ipercoop Pisa,3.12,Torre,3.74,,,2.95
1179,Ristorante Il Mio Capriccio,Ristorante Da Stefano (Tirrenia),Parcheggio di Cisanello,1.83,Via San Ranieri 9,0.4,Parco San Rossore,4.23,,,,,17.69
1180,Piscina Comunale Camalich,Ristorante Il Rustichello - San Piero,,,,,,,,,,,3.74
1181,Piscina Comunale Camalich,Lidl Pisa,Parcheggio Migliarino,17.93,OBI Pisa,15.66,Ristorante Pizzeria Il Pellicano,2.65,Polo Fibonacci,2.47,Hotel San Ranieri,2.06,4
1182,Farmacia Cisanello,Eurospin Ospedaletto,Via Cisanello 170,0.41,Stazione San Rossore,3.8,Esselunga Cisanello,3.65,McDonald's Pisa Aurelia,4.81,Parcheggio Porto di Marina,13.82,11.24
1183,Pizzeria Colignola,Conad Metato,Hotel San Ranieri,1.47,,,,,,,,,8.25
1184,Esselunga Cisanello,Pizzeria Pisanova,Ristorante Da Stefano (Tirrenia),22.74,Carrefour Express Pisanova,20.83,McDonald's Barbaricina,6.11,McDonald's Pisa Aurelia,5.03,,,3.41
1185,Parcheggio Via Paparelli,Torre,Farmacia Cisanello,2.47,Ristorante Galileo,0.87,Hotel San Ranieri,1.02,Universita di Pisa,1.93,Hotel Galilei Pisa,5.75,5.72
1186,Esselunga Cisanello,Universita di Pisa,Ristorante Il Mio Capriccio,1.87,OBI Pisa,3.16,Polo Fibonacci,4.42,Supermercato Coop San Giusto,3.19,Stazione San Rossore,1,2.76
1187,Parco San Rossore,Via del Borghetto 102,Stazione Pisa Centrale,1.35,Ristorante La Greppia,0.75,Ristorante Da Stefano (Tirrenia),18.65,,,,,18.61
1188,Via Cisanello 170,Ristorante Da Stefano (Tirrenia),,,,,,,,,,,19.73
1189,Parcheggio Porto di Marina,Pizzeria Colignola,OBI Pisa,12.87,,,,,,,,,6.16
1190,Parcheggio Via Paparelli,Hotel Galilei Pisa,Parco San Rossore,4.93,Conad Metato,11.13,,,,,,,12.1
1191,Polo Fibonacci,Conad Metato,Via San Ranieri 9,1.42,OBI Pisa,4.75,Parco San Rossore,1.72,Conad Pian di Marco,1.27,Ristorante Il Rustichello - San Piero,3.5,15.05
1192,Ristorante Il Lago (Nodica),Hotel San Ranieri,Carrefour Express Pisanova,6.8,Conad Pian di Marco,3.13,Parcheggio San Giuliano Terme,12.27,,,,,8.24
1193,MediaWorld Pisa,Conad La Vettola,Decathlon Pisa,0.34,Euronics Pisa Cisanello,0.62,Parcheggio di Cisanello,1.33,MD Discount Riglione,4.37,,,10.21
1194,Conad Pian di Marco,Via Angelo Battelli 5,Via San Ranieri 9,4.3,,,,,,,,,1.95
1195,Torre,Ristorante Il Mio Capriccio,Via del Borghetto 102,1.23,OBI Pisa,4.24,Parcheggio di Cisanello,5.2,,,,,2
1196,Parcheggio Migliarino,Hotel San Ranieri,Farmacia Cisanello,14.56,Ristorante Galileo,0.78,,,,,,,0.92
1197,Ristorante La Greppia,Farmacia Cisanello,Ipercoop Pisa,2.16,,,,,,,,,2.05
1198,Euronics Pisa Cisanello,Parcheggio Via Paparelli,,,,,,,,,,,3.68
1199,Via Gabriele Vettori 18,Centro Commerciale Darsena (Tirrenia),,,,,,,,,,,20.99
1200,Via Cisanello 170,Piscina Comunale Camalich,Conad Pian di Marco,4.08,Parcheggio Via Paparelli,5.27,Hotel Continental Tirrenia,22.28,Stazione Leopolda,17.1,Ipercoop Pisa,2.62,4.9
1201,Via Angelo Battelli 5,Conad La Vettola,Facolta di Ingegneria Polo A,0.59,Stazione San Rossore,2.65,,,,,,,4.61
1202,Parcheggio Via Paparelli,Euronics Pisa Cisanello,Hotel Continental Tirrenia,22.27,Torre,18.47,,,,,,,3.66
1203,Facolta di Ingegneria Polo A,Stazione San Rossore,,,,,,,,,,,2.64
1204,Pizzeria Pisanova,Farmacia Cisanello,,,,,,,,,,,1.22
1205,Polo Fibonacci,Conad Metato,Pizzeria Pisanova,1.68,MediaWorld Pisa,0.51,Stazione San Rossore,3.11,Ristorante Il Rustichello - San Piero,4.15,,,14.85
1206,Polo Fibonacci,Universita di Pisa,McDonald's Pisa Aurelia,4.3,Ristorante Pizzeria Il Pellicano,1.98,Stazione Leopolda,1.23,Ristorante Tuscany 2,2.76,Piscina Comunale Camalich,6.24,7.01
1207,Stazione Leopolda,Conad La Vettola,Piscina Comunale Camalich,5.52,Via Gabriele Vettori 18,5.65,,,,,,,7.59
1208,Via Angelo Battelli 5,Parco San Rossore,Farmacia Cisanello,2.36,,,,,,,,,4.45
1209,Via Gabriele Vettori 18,Carrefour Express Pisanova,Pizzeria Pisanova,1.65,,,,,,,,,0.33
1210,Via Gabriele Vettori 18,Via Aretino Spinello 11,Conad La Vettola,6.81,Ristorante Il Mio Capriccio,6.98,Parcheggio Migliarino,14.56,,,,,14.71
1211,Piscina Comunale Camalich,Centro Commerciale Pisanova,Stazione Pisa Centrale,4.7,Eurospin Ospedaletto,4.87,,,,,,,6.21
1212,Parcheggio Migliarino,Farmacia Cisanello,Parcheggio di Cisanello,15.32,,,,,,,,,0.37
1213,Parcheggio San Giuliano Terme,OBI Pisa,,,,,,,,,,,11.07
1214,Universita di Pisa,Ristorante Il Mio Capriccio,Stazione Pisa Centrale,2.36,Hotel Continental Tirrenia,16.36,Piscina Comunale Camalich,12.72,,,,,4.69
1215,Via Aretino Spinello 11,Esselunga Cisanello,Lidl Pisa,1.16,Via Gabriele Vettori 18,1.79,Eurospin Ospedaletto,7.1,,,,,7.97
1216,Via Angelo Battelli 5,Conad Metato,Via Montanelli 66,0.81,Ristorante Il Mio Capriccio,1.46,Facolta di Ingegneria Polo A,2.21,Via Aretino Spinello 11,0.9,OBI Pisa,3.39,12.59
1217,Via San Ranieri 9,Parcheggio Porto di Marina,Via del Borghetto 102,1.78,,,,,,,,,16.54
1218,Ristorante Il Rustichello - San Piero,Supermercato Coop San Giusto,,,,,,,,,,,4.3
1219,Hotel Galilei Pisa,Parcheggio di Cisanello,Via Angelo Battelli 5,5.04,Parco San Rossore,2.18,Ipercoop Pisa,3.47,Parcheggio Migliarino,16.28,,,14.26
1220,Parcheggio di Cisanello,Ristorante Tuscany 2,Ristorante Pizzeria Il Pellicano,2.78,McDonald's Pisa Aurelia,1.7,Pizzeria Pisanova,3.76,Ristorante Galileo,0.41,Ristorante Il Rustichello - San Piero,7.06,8.26
1221,Parcheggio di Cisanello,Via Cisanello 170,Esselunga Cisanello,0.53,Stazione Pisa Centrale,3.11,Carrefour Express Pisanova,1.82,Parcheggio Migliarino,15.86,Ristorante Tuscany 2,16.09,0.58
1222,Parcheggio Porto di Marina,Pizzeria Pisanova,,,,,,,,,,,16.89
1223,Piscina Comunale Camalich,Ristorante Tuscany 2,,,,,,,,,,,5.92
1224,Hotel Galilei Pisa,Universita di Pisa,,,,,,,,,,,5.84
1225,Ristorante Il Mio Capriccio,Hotel San Ranieri,Farmacia Cisanello,2.3,Ristorante Il Lago (Nodica),6.02,Stazione Pisa Centrale,8.3,,,,,3.44
1226,Ristorante Tuscany 2,Ristorante Il Lago (Nodica),Pizzeria Colignola,1.34,Stazione Pisa Centrale,3.91,OBI Pisa,2.41,,,,,8.7
1227,Ristorante Da Stefano (Tirrenia),OBI Pisa,Via Angelo Battelli 5,17.7,Decathlon Pisa,2.2,Stazione Leopolda,1.92,Centro Commerciale Darsena (Tirrenia),19.08,,,17.15
1228,MD Discount Riglione,Polo Fibonacci,Via del Borghetto 102,6.52,Via Gabriele Vettori 18,0.59,Hotel San Ranieri,2.39,Hotel Galilei Pisa,5.99,Conad Pian di Marco,1.67,4.27
1229,Centro Commerciale Pisanova,Pizzeria Pisanova,Torre,3.46,MediaWorld Pisa,3.48,Via Montanelli 66,1.37,,,,,1.01
1230,Facolta di Ingegneria Polo A,Pizzeria Colignola,,,,,,,,,,,3.39
1231,Ristorante Galileo,Lidl Pisa,Eurospin Ospedaletto,7.86,Universita di Pisa,7.05,Centro Commerciale Pisanova,1.66,Parcheggio di Cisanello,0.99,Ristorante La Greppia,3.37,1.84
1232,Via Montanelli 66,Pizzeria Pisanova,McDonald's Pisa Aurelia,3.22,,,,,,,,,3.54
1233,Via Montanelli 66,Via del Borghetto 102,MD Discount Riglione,5.47,Pizzeria Colignola,3.78,Piscina Comunale Camalich,7.14,MediaWorld Pisa,4.9,Torre,3.3,1.08
1234,Ristorante La Greppia,Via Montanelli 66,Via San Ranieri 9,2.97,,,,,,,,,1.36
1235,Conad Metato,Carrefour Express Pisanova,Centro Commerciale Darsena (Tirrenia),31.77,Via Montanelli 66,21.96,,,,,,,0.79
1236,Conad Pian di Marco,Euronics Pisa Cisanello,,,,,,,,,,,3.49
1237,Lidl Pisa,Ristorante Pizzeria Il Pellicano,Parcheggio San Giuliano Terme,9.13,Centro Commerciale Pisanova,8.31,Torre,3.21,,,,,3.19
1238,Pizzeria Pisanova,Carrefour Express Pisanova,Piscina Comunale Camalich,5.71,Hotel Continental Tirrenia,13.67,,,,,,,19.13
1239,Ristorante Il Mio Capriccio,MD Discount Riglione,Lidl Pisa,2.53,Hotel Galilei Pisa,3.31,Universita di Pisa,4.94,,,,,6.39
1240,Eurospin Ospedaletto,Hotel Galilei Pisa,Parcheggio Via Paparelli,9.18,Ristorante Pizzeria Il Pellicano,4.59,Supermercato Coop Ghezzano,7.07,Hotel Continental Tirrenia,22.79,Ristorante Il Lago (Nodica),26.13,10.79
1241,Stazione San Rossore,Ristorante Il Mio Capriccio,Torre,2.26,Via del Borghetto 102,1.17,Parcheggio Porto di Marina,18.28,Ristorante Tuscany 2,18.31,,,1.55
1242,Hotel San Ranieri,Parcheggio Migliarino,Ristorante Il Lago (Nodica),6.41,Lidl Pisa,7.82,Centro Commerciale Darsena (Tirrenia),20.88,Euronics Pisa Cisanello,20.86,McDonald's Barbaricina,7.13,11.08
1243,Pizzeria Colignola,Supermercato Coop Ghezzano,Universita di Pisa,3.44,MediaWorld Pisa,1.99,Carrefour Express Pisanova,0.53,Via Aretino Spinello 11,1.78,Facolta di Ingegneria Polo A,1.01,5.47
1244,Parcheggio Migliarino,Via Aretino Spinello 11,,,,,,,,,,,12.67
1245,Eurospin Ospedaletto,Pizzeria Pisanova,Parco San Rossore,4.95,,,,,,,,,3.47
1246,Supermercato Coop San Giusto,Via del Borghetto 102,,,,,,,,,,,3.19
1247,McDonald's Barbaricina,Via del Borghetto 102,Via Cisanello 170,8.23,Conad La Vettola,9.39,,,,,,,6.6
1248,Via Angelo Battelli 5,Centro Commerciale Darsena (Tirrenia),Supermercato Coop Ghezzano,5.98,Ristorante Il Lago (Nodica),1.92,,,,,,,27.07
1249,Esselunga Cisanello,Ristorante Il Lago (Nodica),Via Gabriele Vettori 18,2.59,Lidl Pisa,1.69,Parcheggio Porto di Marina,15.42,Hotel Galilei Pisa,11.78,,,10.51
1250,Hotel Continental Tirrenia,Supermercato Coop Ghezzano,Supermercato Coop San Giusto,17.34,,,,,,,,,8.51
1251,Ristorante La Greppia,Parcheggio di Cisanello,,,,,,,,,,,2.97
1252,Parcheggio Porto di Marina,Parco San Rossore,Supermercato Coop Ghezzano,19.84,MD Discount Riglione,8.92,Facolta di Ingegneria Polo A,6.25,Centro Commerciale Darsena (Tirrenia),20.02,,,17.37
1253,Lidl Pisa,McDonald's Barbaricina,Farmacia Cisanello,3.89,,,,,,,,,7.57
1254,Farmacia Cisanello,Parcheggio Porto di Marina,,,,,,,,,,,18.26
1255,Supermercato Coop San Giusto,McDonald's Pisa Aurelia,Via Angelo Battelli 5,2.36,Piscina Comunale Camalich,5.6,Ipercoop Pisa,4.89,,,,,3.41
1256,Decathlon Pisa,Supermercato Coop Ghezzano,Stazione Leopolda,1.85,Euronics Pisa Cisanello,2.33,,,,,,,6.3
1257,OBI Pisa,Ristorante Tuscany 2,Centro Commerciale Pisanova,4.59,Eurospin Ospedaletto,7.09,Conad Metato,16.83,Ipercoop Pisa,10.48,,,1.32
1258,McDonald's Pisa Aurelia,Piscina Comunale Camalich,Parcheggio Via Paparelli,5.46,OBI Pisa,6.77,Via Gabriele Vettori 18,3.71,,,,,5.58
1259,Eurospin Ospedaletto,Supermercato Coop San Giusto,Ristorante La Greppia,5.27,Parco San Rossore,1.61,Conad La Vettola,4.35,,,,,5.19
1260,Supermercato Coop Ghezzano,Conad Pian di Marco,Euronics Pisa Cisanello,7.05,Parco San Rossore,3.43,,,,,,,1.31
1261,Via Angelo Battelli 5,Centro Commerciale Darsena (Tirrenia),Hotel San Ranieri,2.37,Hotel Galilei Pisa,6.08,Hotel Continental Tirrenia,14.1,McDonald's Pisa Aurelia,15.21,,,18.94
1262,McDonald's Barbaricina,Centro Commerciale Pisanova,,,,,,,,,,,6.59
1263,Ristorante Galileo,Ristorante Da Stefano (Tirrenia),Supermercato Coop San Giusto,2.98,Stazione Leopolda,1.43,,,,,,,19.76
1264,Pizzeria Pisanova,Via Aretino Spinello 11,,,,,,,,,,,1.84
1265,Facolta di Ingegneria Polo A,Ristorante Tuscany 2,Pizzeria Colignola,3.81,Lidl Pisa,5.42,McDonald's Pisa Aurelia,2.1,Farmacia Cisanello,5.01,,,0.71
1266,Lidl Pisa,Ipercoop Pisa,Via Cisanello 170,3.12,,,,,,,,,1.78
1267,Lidl Pisa,Pizzeria Colignola,Euronics Pisa Cisanello,3.27,,,,,,,,,1.91
1268,Ipercoop Pisa,Centro Commerciale Pisanova,Parcheggio di Cisanello,1.73,,,,,,,,,0.99
1269,Euronics Pisa Cisanello,Ristorante Il Mio Capriccio,Supermercato Coop San Giusto,3.18,Hotel Galilei Pisa,2.51,,,,,,,3.89
1270,Via del Borghetto 102,Parco San Rossore,Stazione San Rossore,2.47,Supermercato Coop San Giusto,1.07,Via Gabriele Vettori 18,2.58,Conad La Vettola,6.57,Torre,6.39,2.89
1271,Via Aretino Spinello 11,Ristorante Galileo,Ristorante Il Lago (Nodica),6.24,Carrefour Express Pisanova,7.08,MediaWorld Pisa,0.5,Centro Commerciale Darsena (Tirrenia),22.08,Parcheggio San Giuliano Terme,31.96,8.64
1272,McDonald's Barbaricina,Conad Metato,Via Aretino Spinello 11,5.62,Ipercoop Pisa,2.65,Decathlon Pisa,0.64,Farmacia Cisanello,2.1,,,9.21
1273,Stazione Pisa Centrale,Pizzeria Colignola,Centro Commerciale Pisanova,2.07,Eurospin Ospedaletto,6.23,Ristorante Tuscany 2,7.11,Conad Metato,9.67,,,9.82
1274,Farmacia Cisanello,Eurospin Ospedaletto,Hotel Galilei Pisa,6.09,,,,,,,,,2.36
1275,Via Gabriele Vettori 18,Stazione San Rossore,,,,,,,,,,,2.05
1276,McDonald's Pisa Aurelia,Pizzeria Pisanova,,,,,,,,,,,3.71
1277,Facolta di Ingegneria Polo A,Torre,Supermercato Coop Ghezzano,4.69,Ipercoop Pisa,6.23,,,,,,,3.75
1278,Ristorante Il Rustichello - San Piero,Lidl Pisa,Via Aretino Spinello 11,5.58,Parcheggio Migliarino,13.36,Via Montanelli 66,14.33,MD Discount Riglione,5.34,,,6.58
1279,Hotel Continental Tirrenia,Pizzeria Colignola,McDonald's Pisa Aurelia,16.05,OBI Pisa,0.86,Hotel San Ranieri,5.2,,,,,1.49
1280,Pizzeria Pisanova,Polo Fibonacci,Via Montanelli 66,1.09,Hotel Galilei Pisa,4.43,Parcheggio Porto di Marina,12.83,Ristorante Galileo,16.94,,,1.89
1281,Via Cisanello 170,Via del Borghetto 102,Parcheggio Migliarino,16.01,MediaWorld Pisa,14.27,Stazione Pisa Centrale,1.85,Supermercato Coop Ghezzano,7.06,,,4.49
1282,Ristorante Il Mio Capriccio,MediaWorld Pisa,Centro Commerciale Darsena (Tirrenia),20.49,Hotel Continental Tirrenia,2.65,Supermercato Coop Ghezzano,24.13,Parcheggio di Cisanello,4.86,,,1.42
1283,Conad Pian di Marco,Esselunga Cisanello,Parcheggio Via Paparelli,5.57,,,,,,,,,2.79
1284,Hotel San Ranieri,Stazione Leopolda,Facolta di Ingegneria Polo A,1.91,Polo Fibonacci,0.27,,,,,,,1.56
1285,Torre,OBI Pisa,Via del Borghetto 102,1.29,,,,,,,,,4.53
1286,Supermercato Coop Ghezzano,Ristorante Pizzeria Il Pellicano,Farmacia Cisanello,4.79,Ristorante Il Rustichello - San Piero,8.76,Conad La Vettola,2.49,,,,,6.86
1287,Stazione Pisa Centrale,Parco San Rossore,Pizzeria Colignola,4.4,Via Gabriele Vettori 18,3.94,Stazione San Rossore,1.98,,,,,0.35
1288,Ristorante Da Stefano (Tirrenia),Supermercato Coop Ghezzano,,,,,,,,,,,24.83
1289,Parcheggio Porto di Marina,Parcheggio San Giuliano Terme,Lidl Pisa,14.68,,,,,,,,,9.52
1290,Esselunga Cisanello,Parcheggio San Giuliano Terme,Via Aretino Spinello 11,2.78,Ristorante La Greppia,1.98,,,,,,,10.32
1291,Stazione San Rossore,Torre,Ristorante Da Stefano (Tirrenia),19.23,Supermercato Coop Ghezzano,24.93,Supermercato Coop San Giusto,8.29,Ipercoop Pisa,2.87,Stazione Pisa Centrale,2.34,2.76
1292,Parcheggio San Giuliano Terme,Lidl Pisa,,,,,,,,,,,9.81
1293,Hotel San Ranieri,Parcheggio Porto di Marina,Hotel Galilei Pisa,6.53,Decathlon Pisa,3.83,Ristorante Il Lago (Nodica),8.17,,,,,20.9
1294,Parcheggio Porto di Marina,Ristorante Pizzeria Il Pellicano,Pizzeria Colignola,20.09,Stazione Pisa Centrale,4.12,Facolta di Ingegneria Polo A,1.83,Conad La Vettola,6.99,,,6.44
1295,Supermercato Coop San Giusto,Torre,,,,,,,,,,,3
1296,Via Gabriele Vettori 18,Parco San Rossore,Parcheggio di Cisanello,2.11,Polo Fibonacci,1.82,Universita di Pisa,0.11,Ristorante Il Lago (Nodica),5.84,,,8.58
1297,Stazione San Rossore,Torre,Ristorante Tuscany 2,4.25,Supermercato Coop San Giusto,3.46,,,,,,,3.36
1298,Parcheggio Porto di Marina,Ristorante Galileo,Hotel Continental Tirrenia,3.77,Ristorante Il Lago (Nodica),22.79,McDonald's Barbaricina,8.22,Parcheggio di Cisanello,7.51,Eurospin Ospedaletto,8.02,7.33
1299,Conad La Vettola,Stazione Pisa Centrale,Ristorante Pizzeria Il Pellicano,6.8,Lidl Pisa,2.03,,,,,,,0.93
1300,Ristorante Il Mio Capriccio,Ristorante Il Lago (Nodica),,,,,,,,,,,8.7
1301,MediaWorld Pisa,Supermercato Coop San Giusto,Via Gabriele Vettori 18,1.81,Hotel San Ranieri,2.13,McDonald's Pisa Aurelia,4.4,,,,,0.77
1302,Ipercoop Pisa,Ristorante Il Mio Capriccio,Parcheggio San Giuliano Terme,9.32,Ristorante Il Rustichello - San Piero,12.92,Parcheggio Porto di Marina,10.8,,,,,15.34
1303,Piscina Comunale Camalich,Via Gabriele Vettori 18,Ristorante Il Rustichello - San Piero,3.6,Lidl Pisa,4.88,Facolta di Ingegneria Polo A,1.93,Via Montanelli 66,0.82,,,0.72
1304,Via del Borghetto 102,Conad Pian di Marco,Piscina Comunale Camalich,6.51,Facolta di Ingegneria Polo A,6.12,Parcheggio San Giuliano Terme,7.44,,,,,11.65
1305,Ristorante Il Rustichello - San Piero,Universita di Pisa,Torre,6.31,,,,,,,,,1.45
1306,Parcheggio Migliarino,Hotel Continental Tirrenia,Supermercato Coop San Giusto,15.65,Stazione Pisa Centrale,0.88,Carrefour Express Pisanova,1.9,Parcheggio Porto di Marina,16.31,,,3.9
1307,Supermercato Coop San Giusto,Euronics Pisa Cisanello,Stazione Leopolda,1.53,Carrefour Express Pisanova,1.57,MD Discount Riglione,4.14,Universita di Pisa,6.33,,,2.13
1308,Eurospin Ospedaletto,Parcheggio Via Paparelli,Decathlon Pisa,6.24,,,,,,,,,3.58
1309,Pizzeria Colignola,Parcheggio Porto di Marina,Stazione San Rossore,5.26,,,,,,,,,14.51
1310,OBI Pisa,Parcheggio Migliarino,,,,,,,,,,,15.72
1311,Parcheggio Migliarino,Parco San Rossore,Farmacia Cisanello,16.34,Via Aretino Spinello 11,2.79,Parcheggio di Cisanello,2.37,Hotel San Ranieri,0.36,Piscina Comunale Camalich,7.66,4.31
1312,Conad La Vettola,Facolta di Ingegneria Polo A,,,,,,,,,,,7.45
1313,Pizzeria Colignola,Ristorante Tuscany 2,Via Angelo Battelli 5,4.01,MD Discount Riglione,5.57,Decathlon Pisa,3.51,Conad Metato,10.85,,,8.35
1314,Parcheggio San Giuliano Terme,McDonald's Pisa Aurelia,Universita di Pisa,7.6,Eurospin Ospedaletto,7.01,Via Cisanello 170,8.07,Centro Commerciale Pisanova,0.8,Supermercato Coop San Giusto,2.89,0.76
1315,MD Discount Riglione,Parco San Rossore,,,,,,,,,,,5.98
1316,Ristorante Pizzeria Il Pellicano,Torre,Piscina Comunale Camalich,4.05,,,,,,,,,7.54
1317,Via Aretino Spinello 11,Via Angelo Battelli 5,Esselunga Cisanello,2.81,Parcheggio Migliarino,15.24,Stazione Leopolda,13.27,Decathlon Pisa,1.88,,,2.28
1318,Ristorante Pizzeria Il Pellicano,Supermercato Coop San Giusto,Parcheggio Migliarino,16.57,Pizzeria Pisanova,15.28,OBI Pisa,3.93,Eurospin Ospedaletto,3.21,,,4.46
1319,Ristorante La Greppia,Esselunga Cisanello,Pizzeria Pisanova,2.28,Centro Commerciale Darsena (Tirrenia),19.57,Conad La Vettola,15.97,Polo Fibonacci,7.68,Carrefour Express Pisanova,1.76,1.31
1320,Decathlon Pisa,Ristorante Il Mio Capriccio,Hotel Galilei Pisa,3.65,OBI Pisa,1.32,McDonald's Barbaricina,5.15,Via del Borghetto 102,5.37,,,2.63
1321,Ristorante Galileo,Via del Borghetto 102,Pizzeria Colignola,1.7,Polo Fibonacci,3.75,,,,,,,0.25
1322,McDonald's Pisa Aurelia,Hotel Continental Tirrenia,Polo Fibonacci,3.63,,,,,,,,,18.03
1323,McDonald's Pisa Aurelia,Parcheggio Porto di Marina,,,,,,,,,,,14
1324,Polo Fibonacci,Carrefour Express Pisanova,,,,,,,,,,,1.8
1325,Stazione Pisa Centrale,Via del Borghetto 102,,,,,,,,,,,2.5
1326,Ristorante La Greppia,Via San Ranieri 9,Hotel San Ranieri,3.37,,,,,,,,,0.5
1327,Ristorante La Greppia,Universita di Pisa,Ristorante Da Stefano (Tirrenia),17.2,Parcheggio Porto di Marina,4.78,MediaWorld Pisa,17.31,,,,,2.05
1328,Hotel San Ranieri,Via Montanelli 66,,,,,,,,,,,1.84
1329,Ristorante Pizzeria Il Pellicano,Supermercato Coop Ghezzano,Ristorante Il Mio Capriccio,0.69,MediaWorld Pisa,0.58,Hotel Galilei Pisa,4.47,Decathlon Pisa,4,,,6.63
1330,Lidl Pisa,Parcheggio Via Paparelli,Via Cisanello 170,3.54,Hotel Galilei Pisa,5.1,Universita di Pisa,5.04,McDonald's Barbaricina,5.82,Ristorante Il Lago (Nodica),8.75,3.83
1331,Stazione San Rossore,Farmacia Cisanello,Eurospin Ospedaletto,4.67,MD Discount Riglione,7.73,Polo Fibonacci,5.97,,,,,1.89
1332,Conad Pian di Marco,Via Angelo Battelli 5,Eurospin Ospedaletto,3.34,Via Cisanello 170,7.81,,,,,,,2.29
1333,Via Gabriele Vettori 18,Ristorante La Greppia,Ristorante Tuscany 2,2.29,Supermercato Coop San Giusto,3.94,Parcheggio Via Paparelli,4.89,Via San Ranieri 9,2.25,,,3.33
1334,Centro Commerciale Pisanova,Parcheggio Via Paparelli,Conad La Vettola,8.9,,,,,,,,,8.35
1335,Lidl Pisa,MediaWorld Pisa,McDonald's Pisa Aurelia,2.22,Parcheggio Migliarino,16.58,Ristorante Pizzeria Il Pellicano,14.75,,,,,1.39
1336,Via San Ranieri 9,Hotel San Ranieri,Farmacia Cisanello,0.69,Supermercato Coop San Giusto,4.4,,,,,,,4.07
1337,OBI Pisa,Universita di Pisa,Via San Ranieri 9,5.62,,,,,,,,,1.31
1338,Piscina Comunale Camalich,McDonald's Barbaricina,Supermercato Coop San Giusto,3.41,,,,,,,,,5.29
1339,Via Gabriele Vettori 18,Centro Commerciale Pisanova,Universita di Pisa,0.66,Esselunga Cisanello,2.26,Eurospin Ospedaletto,7.89,Via Angelo Battelli 5,6.93,Conad Metato,9.55,8.87
1340,Eurospin Ospedaletto,Parcheggio Porto di Marina,,,,,,,,,,,11.39
1341,Ristorante Tuscany 2,Via Aretino Spinello 11,,,,,,,,,,,2.84
1342,Stazione Leopolda,Conad Pian di Marco,Lidl Pisa,0.86,Parcheggio San Giuliano Terme,9.82,Hotel Galilei Pisa,13.2,Via Aretino Spinello 11,4.65,Via Gabriele Vettori 18,0.64,3.39
1343,Stazione Pisa Centrale,Via Cisanello 170,Pizzeria Pisanova,1.96,,,,,,,,,0.8
1344,Euronics Pisa Cisanello,Supermercato Coop Ghezzano,Via Angelo Battelli 5,2.26,OBI Pisa,3.8,Pizzeria Pisanova,4.63,Parcheggio Porto di Marina,16.77,Via Aretino Spinello 11,16.46,5.87
1345,Facolta di Ingegneria Polo A,Torre,,,,,,,,,,,1.31
1346,Hotel San Ranieri,OBI Pisa,,,,,,,,,,,5.99
